FLIGHT REG,AGE
N508JL,22 years
N979JT,6 years
N586JB,19 years
N510JB,22 years
N821JB,10 years
N985JT,5 years
N605JB,18 years
N565JB,20 years
N639JB,16 years
N624JB,17 years
N760JB,14 years
N637JB,17 years
N587JB,19 years
N569JB,19 years
N789JB,12 years
N585JB,19 years
N643JB,16 years
N531JL,21 years
N606JB,18 years
N623JB,17 years
N827JB,9 years
N607JB,18 years
N554JB,20 years
N935JB,8 years
N632JB,17 years
N715JB,14 years
N584JB,19 years
N640JB,16 years
N923JB,9 years
N981JT,5 years
N663JB,15 years
N613JB,18 years
N526JL,21 years
N665JB,15 years
N706JB,15 years
N793JB,12 years
N703JB,15 years
N593JB,18 years
N759AN,21 years
N790AN,22 years
N797AN,22 years
N773AN,24 years
N752AN,22 years
N768AA,16 years
N772AN,24 years
N776AN,24 years
N760AN,21 years
N750AN,22 years
N762AN,21 years
N798AN,22 years
N778AN,23 years
N761AJ,21 years
N782AN,23 years
N765AN,20 years
N766AN,19 years
N791AN,22 years
N753AN,21 years
N796AN,22 years
N780AN,23 years
N775AN,24 years
N758AN,21 years
N800AN,8 years
N794AN,22 years
N784AN,23 years
N781AN,23 years
N792AN,22 years
N793AN,22 years
N751AN,22 years
N786AN,23 years
N789AN,22 years
N770AN,24 years
N767AJ,17 years
N785AN,23 years
N757AN,21 years
N795AN,22 years
N774AN,24 years
N787AL,23 years
N783AN,23 years
N788AN,22 years
N779AN,23 years
N754AN,21 years
N755AN,21 years
N799AN,22 years
N777AN,23 years
N987JT,5 years
N805JB,11 years
N629JB,17 years
N796JB,11 years
N523JB,21 years
N992JB,5 years
N811DZ,9 years
N3753,21 years
N909DN,4 years
N916DU,4 years
N894DN,5 years
N859DN,7 years
N869DN,6 years
N873DN,6 years
N810DN,9 years
